query,best_ids,natural_answer
Where did Yoda hide from the empire?,Yoda,Yoda hid from the Empire on the remote world of Dagobah
What species was Ahsoka Tano?,"Ahsoka_Tano, Togruta","Ahsoka Tano was a Togruta, a species known for their distinctive head-tails, or lekku, and montrals, as well as their colorful skin patterns"
What was asoka tano's nickname in the Clone Wars?,Ahsoka_Tano,"Ahsoka Tano's nickname was ""Snips,"" which was given to her by her Jedi Master, Anakin Skywalker"
What was ashoka's nickname?,Ahsoka_Tano,"Ahsoka Tano's nickname was ""Snips,"" which was given to her by her Jedi Master, Anakin Skywalker"
what color was yoda's light saber?,"Yoda%27s_lightsaber, Yoda",Yoda's lightsaber had a bright green plasma blade
what color was yoda's lightsaber?,"Yoda%27s_lightsaber, Yoda",Yoda's lightsaber had a bright green plasma blade
"What is the home planet of Chewbacca, and what is it primarily known for?","Chewbacca, Kashyyyk",Chewbacca's home planet is Kashyyyk. It is primarily known for being the home of the Wookiee species
"What type of starship is the Millennium Falcon, and who was its original owner?","Millennium_Falcon, Landonis_Balthazar_Calrissian","The Millennium Falcon is a Corellian YT-1300 light freighter [1]. Its original owner, was Lando Calrissian."
"What was the name of the clone army's template, and who was responsible for its creation?","Clone_template, First_Battle_of_Geonosis",The clone army's template was the human bounty hunter Jango Fett. The creation of the clone army was arranged by the deceased Jedi Master Sifo-Dyas
What is the official title of Padmé Amidala during her time on Naboo?,"Padm%C3%A9_Amidala, Gungan-Naboo_dispute, Naboo_Coronation ","During her time on Naboo, Padmé Amidala held the official title of Queen of Naboo"
"Who is the Sith apprentice known as Darth Maul, and what weapon is he famous for using?","Maul, Darth_Maul%27s_double-bladed_lightsaber","The Sith apprentice known as Darth Maul is a Force-sensitive Dathomirian Zabrak male who was trained by Darth Sidious. He is famous for using a double-bladed lightsaber, which he built based on a design found in a Sith holocron owned by Darth Sidious"
"Who constructed C-3PO, and for what purpose?","3PO-series_protocol_droid, C-3PO",C-3PO was constructed by a young Anakin Skywalker from spare parts in the city of Mos Espa on the planet Tatooine. He was designed to interact with organics and was programmed primarily for etiquette and protocol
that's not what I wanted you dumb computer. Dang. Who is Luke Skywalker's sister?,"Luke_Skywalker, Sola_Naberrie, Leia_Organa_Solo",Luke Skywalker's sister is Leia Organa
Who trained Luke Skywalker in the ways of the Force after Obi-Wan Kenobi's death?,"Luke_Skywalker, Jedi_training","After Obi-Wan Kenobi's death, Luke Skywalker was trained in the ways of the Force by Grand Master Yoda"
What are the names of the twin suns of Tatooine?,"Tatooine, Tatoo_II, Tatoo_I",The twin suns of Tatooine are named Tatoo I and Tatoo II 
What snow planet serves as the home base for the Rebel Alliance after the battle of Yavin?,"Echo_Base, Hoth, Evacuation_of_Yavin_4",The planet Hoth
